Anumber,Triangle,Type,Trait,Sequence
A001787,Binomial,Std,TransNat0,[0 1 4 12 32 80 192 448 1024 2304 ]
A001792,Binomial,Std,TransNat1,[1 3 8 20 48 112 256 576 1280 2816 ]
A053121,Catalan,Std,Triangle,[1 0 1 1 0 1 0 2 0 1 ]
A052173,Catalan,Std,Reverse,[1 1 0 1 0 1 1 0 2 0 ]
A049310,Catalan,Std,Inverse,[1 0 1 -1 0 1 0 -2 0 1 ]
A053119,Catalan,Std,RevInv,[1 1 0 1 0 -1 1 0 -2 0 ]
nothing,Catalan,Std,DiagTri,[1 0 1 1 0 0 2 2 1 0 ]
nothing,Catalan,Std,PolyTri,[1 0 1 1 1 1 0 2 2 1 ]
A001405,Catalan,Std,Sum,[1 1 2 3 6 10 20 35 70 126 ]
A126869,Catalan,Std,EvenSum,[1 0 2 0 6 0 20 0 70 0 ]
A138364,Catalan,Std,OddSum,[0 1 0 3 0 10 0 35 0 126 ]
A001405,Catalan,Std,AltSum,[1 -1 2 -3 6 -10 20 -35 70 -126 ]
nothing,Catalan,Std,DiagSum,[1 0 2 0 5 0 14 0 42 0 ]
nothing,Catalan,Std,Middle,[1 0 0 2 3 0 0 14 20 0 ]
nothing,Catalan,Std,Central,[1 0 3 0 20 0 154 0 1260 0 ]
A126120,Catalan,Std,LeftSide,[1 0 1 0 2 0 5 0 14 0 ]
A000012,Catalan,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A121724,Catalan,Std,PosHalf,[1 1 5 9 45 97 485 1145 5725 14289 ]
A121724,Catalan,Std,NegHalf,[1 1 5 9 45 97 485 1145 5725 14289 ]
A054341,Catalan,Std,PolyVal2,[1 2 5 12 30 74 185 460 1150 2868 ]
A126931,Catalan,Std,PolyVal3,[1 3 10 33 110 366 1220 4065 13550 45162 ]
nothing,Catalan,Std,BinConv,[1 1 2 7 21 66 216 715 2395 8101 ]
nothing,Catalan,Std,IBinConv,[1 1 2 7 21 66 216 715 2395 8101 ]
nothing,Catalan,Std,TransSqrs,[0 1 4 11 28 66 152 339 748 1622 ]
A045621,Catalan,Std,TransNat0,[0 1 2 5 10 22 44 93 186 386 ]
A000079,Catalan,Std,TransNat1,[1 2 4 8 16 32 64 128 256 512 ]
A078521,DArcais,Std,Triangle,[1 0 1 0 3 1 0 8 9 1 ]
nothing,DArcais,Std,Reverse,[1 1 0 1 3 0 1 9 8 0 ]
nothing,DArcais,Std,Inverse,[1 0 1 0 -3 1 0 19 -9 1 ]
nothing,DArcais,Std,RevInv,[1 1 0 1 -3 0 1 -9 19 0 ]
nothing,DArcais,Std,DiagTri,[1 0 0 1 0 3 0 8 1 0 ]
nothing,DArcais,Std,PolyTri,[1 0 1 0 1 1 0 4 2 1 ]
A053529,DArcais,Std,Sum,[1 1 4 18 120 840 7920 75600 887040 10886400 ]
nothing,DArcais,Std,EvenSum,[1 0 1 9 60 480 3960 40320 443520 5443200 ]
nothing,DArcais,Std,OddSum,[0 1 3 9 60 360 3960 35280 443520 5443200 ]
A293140,DArcais,Std,AltSum,[1 -1 -2 0 0 120 0 5040 0 0 ]
nothing,DArcais,Std,DiagSum,[1 0 1 3 9 51 204 1908 9370 109017 ]
nothing,DArcais,Std,Middle,[1 0 3 8 59 450 2475 28294 147889 2341332 ]
nothing,DArcais,Std,Central,[1 3 59 2475 147889 11744775 1163220575 137914387611 19052174174033 3005469776175867 ]
A000007,DArcais,Std,LeftSide,[1 0 0 0 0 0 0 0 0 0 ]
A000012,DArcais,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
nothing,DArcais,Std,PosHalf,[1 1 7 51 609 6825 122535 1890315 41928705 884551185 ]
nothing,DArcais,Std,NegHalf,[1 1 -5 15 -135 -495 -9405 -237825 363825 -42652575 ]
nothing,DArcais,Std,PolyVal2,[1 2 10 60 480 4320 46800 554400 7459200 108864000 ]
nothing,DArcais,Std,PolyVal3,[1 3 18 132 1224 12960 159120 2162160 32659200 536699520 ]
nothing,DArcais,Std,BinConv,[1 1 7 52 595 7521 117796 2033004 39834159 852065323 ]
nothing,DArcais,Std,IBinConv,[1 1 -5 -2 115 -1779 976 79668 -2574417 32044003 ]
nothing,DArcais,Std,TransSqrs,[0 1 7 53 456 4384 47492 566516 7457384 106329384 ]
A057623,DArcais,Std,TransNat0,[0 1 5 29 218 1814 18144 196356 2427312 32304240 ]
nothing,DArcais,Std,TransNat1,[1 2 9 47 338 2654 26064 271956 3314352 43190640 ]
A008288,Delannoy,Std,Triangle,[1 1 1 1 3 1 1 5 5 1 ]
A008288,Delannoy,Std,Reverse,[1 1 1 1 3 1 1 5 5 1 ]
A103136,Delannoy,Std,Inverse,[1 -1 1 2 -3 1 -6 10 -5 1 ]
A033878,Delannoy,Std,RevInv,[1 1 -1 1 -3 2 1 -5 10 -6 ]
A103136,Delannoy,Std,InvRev,[1 -1 1 2 -3 1 -6 10 -5 1 ]
nothing,Delannoy,Std,DiagTri,[1 1 1 1 1 3 1 5 1 1 ]
nothing,Delannoy,Std,PolyTri,[1 1 1 1 2 1 1 5 3 1 ]
A077985,Delannoy,Std,Sum,[1 2 5 12 29 70 169 408 985 2378 ]
A116404,Delannoy,Std,EvenSum,[1 1 2 6 15 35 84 204 493 1189 ]
nothing,Delannoy,Std,OddSum,[0 1 3 6 14 35 85 204 492 1189 ]
A014581,Delannoy,Std,AltSum,[1 0 -1 0 1 0 -1 0 1 0 ]
nothing,Delannoy,Std,DiagSum,[1 1 2 4 7 13 24 44 81 149 ]
A026003,Delannoy,Std,Middle,[1 1 3 5 13 25 63 129 321 681 ]
A001850,Delannoy,Std,Central,[1 3 13 63 321 1683 8989 48639 265729 1462563 ]
A000012,Delannoy,Std,LeftSide,[1 1 1 1 1 1 1 1 1 1 ]
A000012,Delannoy,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A007482,Delannoy,Std,PosHalf,[1 3 11 39 139 495 1763 6279 22363 79647 ]
A077020,Delannoy,Std,NegHalf,[1 -1 -1 3 -1 -5 7 3 -17 11 ]
A007482,Delannoy,Std,PolyVal2,[1 3 11 39 139 495 1763 6279 22363 79647 ]
A015530,Delannoy,Std,PolyVal3,[1 4 19 88 409 1900 8827 41008 190513 885076 ]
A006139,Delannoy,Std,BinConv,[1 2 8 32 136 592 2624 11776 53344 243392 ]
nothing,Delannoy,Std,IBinConv,[1 0 -4 0 24 0 -160 0 1120 0 ]
nothing,Delannoy,Std,TransSqrs,[0 1 7 34 138 503 1709 5524 17204 52061 ]
nothing,Delannoy,Std,TransNat0,[0 1 5 18 58 175 507 1428 3940 10701 ]
A026937,Delannoy,Std,TransNat1,[1 3 10 30 87 245 676 1836 4925 13079 ]
A109449,Euler,Std,Triangle,[1 1 1 1 2 1 2 3 3 1 ]
nothing,Euler,Std,Reverse,[1 1 1 1 2 1 1 3 3 2 ]
A109449,Euler,Std,Inverse,[1 -1 1 1 -2 1 -2 3 -3 1 ]
nothing,Euler,Std,RevInv,[1 1 -1 1 -2 1 1 -3 3 -2 ]
nothing,Euler,Std,DiagTri,[1 1 1 1 2 2 5 3 1 16 ]
nothing,Euler,Std,PolyTri,[1 1 1 1 2 1 2 4 3 1 ]
A000667,Euler,Std,Sum,[1 2 4 9 24 77 294 1309 6664 38177 ]
A062272,Euler,Std,EvenSum,[1 1 2 5 12 41 152 685 3472 19921 ]
A062161,Euler,Std,OddSum,[0 1 2 4 12 36 142 624 3192 18256 ]
A062162,Euler,Std,AltSum,[1 0 0 1 0 5 10 61 280 1665 ]
nothing,Euler,Std,DiagSum,[1 1 2 4 9 27 93 392 1898 10493 ]
nothing,Euler,Std,Middle,[1 1 2 3 6 20 40 175 350 2016 ]
nothing,Euler,Std,Central,[1 2 6 40 350 4032 56364 933504 17824950 385848320 ]
A000111,Euler,Std,LeftSide,[1 1 1 2 5 16 61 272 1385 7936 ]
A000012,Euler,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A000834,Euler,Std,PosHalf,[1 3 9 35 177 1123 8569 76355 777697 8911683 ]
nothing,Euler,Std,NegHalf,[1 -1 1 -9 33 -241 1761 -15929 161473 -1853281 ]
A000752,Euler,Std,PolyVal2,[1 3 9 28 93 338 1369 6238 31993 183618 ]
A307878,Euler,Std,PolyVal3,[1 4 16 65 272 1189 5506 27365 147512 868129 ]
nothing,Euler,Std,BinConv,[1 2 6 21 90 467 2824 19383 148414 1251935 ]
nothing,Euler,Std,IBinConv,[1 0 -2 -1 -6 -15 0 -271 574 -5379 ]
nothing,Euler,Std,TransSqrs,[0 1 6 24 84 300 1182 5292 26936 154224 ]
A231179,Euler,Std,TransNat0,[0 1 4 12 36 120 462 2058 10472 59976 ]
A000737,Euler,Std,TransNat1,[1 3 8 21 60 197 756 3367 17136 98153 ]
A119879,EulerS,Std,Triangle,[1 0 1 -1 0 1 0 -3 0 1 ]
nothing,EulerS,Std,Reverse,[1 1 0 1 0 -1 1 0 -3 0 ]
A119467,EulerS,Std,Inverse,[1 0 1 1 0 1 0 3 0 1 ]
A141665,EulerS,Std,RevInv,[1 1 0 1 0 1 1 0 3 0 ]
nothing,EulerS,Std,DiagTri,[1 0 -1 1 0 0 5 -3 1 0 ]
A247498,EulerS,Std,PolyTri,[1 0 1 -1 1 1 0 0 2 1 ]
A009006,EulerS,Std,Sum,[1 1 0 -2 0 16 0 -272 0 7936 ]
A000007,EulerS,Std,EvenSum,[1 0 0 0 0 0 0 0 0 0 ]
A009006,EulerS,Std,OddSum,[0 1 0 -2 0 16 0 -272 0 7936 ]
A009006,EulerS,Std,AltSum,[1 -1 0 2 0 -16 0 272 0 -7936 ]
nothing,EulerS,Std,DiagSum,[1 0 0 0 3 0 -41 0 1024 0 ]
nothing,EulerS,Std,Middle,[1 0 0 -3 -6 0 0 175 350 0 ]
nothing,EulerS,Std,Central,[1 0 -6 0 350 0 -56364 0 17824950 0 ]
A122045,EulerS,Std,LeftSide,[1 0 -1 0 5 0 -61 0 1385 0 ]
A000012,EulerS,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A001586,EulerS,Std,PosHalf,[1 1 -3 -11 57 361 -2763 -24611 250737 2873041 ]
A001586,EulerS,Std,NegHalf,[1 1 -3 -11 57 361 -2763 -24611 250737 2873041 ]
A119880,EulerS,Std,PolyVal2,[1 2 3 2 -3 2 63 2 -1383 2 ]
A119881,EulerS,Std,PolyVal3,[1 3 8 18 32 48 128 528 512 -6912 ]
nothing,EulerS,Std,BinConv,[1 1 0 -8 -30 26 840 2696 -22722 -240146 ]
nothing,EulerS,Std,IBinConv,[1 1 0 -8 -30 26 840 2696 -22722 -240146 ]
nothing,EulerS,Std,TransSqrs,[0 1 4 6 -8 -40 96 672 -2176 -19584 ]
A109573,EulerS,Std,TransNat0,[0 1 2 0 -8 0 96 0 -2176 0 ]
nothing,EulerS,Std,TransNat1,[1 2 2 -2 -8 16 96 -272 -2176 7936 ]
A162660,EulerT,Std,Triangle,[0 1 0 0 2 0 -2 0 3 0 ]
nothing,EulerT,Std,Reverse,[0 0 1 0 2 0 0 3 0 -2 ]
nothing,EulerT,Std,DiagTri,[0 1 0 0 -2 2 0 0 0 16 ]
nothing,EulerT,Std,PolyTri,[0 1 0 0 1 0 -2 2 1 0 ]
A009832,EulerT,Std,Sum,[0 1 2 1 -4 1 62 1 -1384 1 ]
A000035,EulerT,Std,EvenSum,[0 1 0 1 0 1 0 1 0 1 ]
nothing,EulerT,Std,OddSum,[0 0 2 0 -4 0 62 0 -1384 0 ]
A009832,EulerT,Std,AltSum,[0 1 -2 1 4 1 -62 1 1384 1 ]
nothing,EulerT,Std,DiagSum,[0 1 0 0 0 11 0 -192 0 6061 ]
nothing,EulerT,Std,Middle,[0 1 2 0 0 -20 -40 0 0 2016 ]
A214447,EulerT,Std,Central,[0 2 0 -40 0 4032 0 -933504 0 385848320 ]
A009006,EulerT,Std,LeftSide,[0 1 0 -2 0 16 0 -272 0 7936 ]
A000004,EulerT,Std,RightSide,[0 0 0 0 0 0 0 0 0 0 ]
nothing,EulerT,Std,PosHalf,[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]
nothing,EulerT,Std,NegHalf,[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]
nothing,EulerT,Std,PolyVal2,[0 1 4 10 16 16 64 400 256 -7424 ]
nothing,EulerT,Std,PolyVal3,[0 1 6 25 84 241 666 2185 7944 19681 ]
nothing,EulerT,Std,BinConv,[0 1 4 7 -16 -159 -188 4383 26560 -104591 ]
nothing,EulerT,Std,IBinConv,[0 -1 -4 -7 16 159 188 -4383 -26560 104591 ]
nothing,EulerT,Std,TransSqrs,[0 0 2 12 28 0 -114 476 3480 -12384 ]
nothing,EulerT,Std,TransNat0,[0 0 2 6 4 -20 6 434 8 -12456 ]
nothing,EulerT,Std,TransNat1,[0 1 4 7 0 -19 68 435 -1376 -12455 ]
A173018,Eulerian,Std,Triangle,[1 1 0 1 1 0 1 4 1 0 ]
A123125,Eulerian,Std,Reverse,[1 0 1 0 1 1 0 1 4 1 ]
nothing,Eulerian,Std,InvRev,[1 0 1 0 -1 1 0 3 -4 1 ]
nothing,Eulerian,Std,DiagTri,[1 1 1 0 1 1 1 4 0 1 ]
A332700,Eulerian,Std,PolyTri,[1 1 1 1 1 1 1 2 1 1 ]
A000142,Eulerian,Std,Sum,[1 1 2 6 24 120 720 5040 40320 362880 ]
A128103,Eulerian,Std,EvenSum,[1 1 1 2 12 68 360 2384 20160 185408 ]
A262745,Eulerian,Std,OddSum,[0 0 1 4 12 52 360 2656 20160 177472 ]
A009006,Eulerian,Std,AltSum,[1 1 0 -2 0 16 0 -272 0 7936 ]
A000800,Eulerian,Std,DiagSum,[1 1 1 2 5 13 38 125 449 1742 ]
A006551,Eulerian,Std,Middle,[1 1 1 4 11 66 302 2416 15619 156190 ]
A180056,Eulerian,Std,Central,[1 1 11 302 15619 1310354 162512286 27971176092 6382798925475 1865385657780650 ]
A000012,Eulerian,Std,LeftSide,[1 1 1 1 1 1 1 1 1 1 ]
A000007,Eulerian,Std,RightSide,[1 0 0 0 0 0 0 0 0 0 ]
A000670,Eulerian,Std,PosHalf,[1 1 3 13 75 541 4683 47293 545835 7087261 ]
A087674,Eulerian,Std,NegHalf,[1 1 -1 -3 15 21 -441 477 19935 -101979 ]
A000670,Eulerian,Std,PolyVal2,[1 1 3 13 75 541 4683 47293 545835 7087261 ]
A122704,Eulerian,Std,PolyVal3,[1 1 4 22 160 1456 15904 202672 2951680 48361216 ]
A011818,Eulerian,Std,BinConv,[1 1 3 16 115 1056 11774 154624 2337507 39984640 ]
nothing,Eulerian,Std,IBinConv,[1 -1 -1 8 19 -276 -1002 21216 103395 -2881180 ]
nothing,Eulerian,Std,TransSqrs,[0 0 1 8 64 540 4920 48720 524160 6108480 ]
A180119,Eulerian,Std,TransNat0,[0 0 1 6 36 240 1800 15120 141120 1451520 ]
A001710,Eulerian,Std,TransNat1,[1 1 3 12 60 360 2520 20160 181440 1814400 ]
A340556,EulerianSO2,Std,Triangle,[1 0 1 0 1 2 0 1 8 6 ]
A163936,EulerianSO2,Std,Reverse,[1 1 0 2 1 0 6 8 1 0 ]
nothing,EulerianSO2,Std,DiagTri,[1 0 0 1 0 1 0 1 2 0 ]
nothing,EulerianSO2,Std,PolyTri,[1 0 1 0 1 1 0 3 2 1 ]
A001147,EulerianSO2,Std,Sum,[1 1 3 15 105 945 10395 135135 2027025 34459425 ]
nothing,EulerianSO2,Std,EvenSum,[1 0 2 8 46 496 5234 66344 1021918 17237488 ]
nothing,EulerianSO2,Std,OddSum,[0 1 1 7 59 449 5161 68791 1005107 17221937 ]
A001662,EulerianSO2,Std,AltSum,[1 -1 1 1 -13 47 73 -2447 16811 15551 ]
nothing,EulerianSO2,Std,DiagSum,[1 0 1 1 3 9 29 111 467 2137 ]
nothing,EulerianSO2,Std,Middle,[1 0 1 1 22 52 1452 5610 195800 1062500 ]
nothing,EulerianSO2,Std,Central,[1 1 22 1452 195800 44765000 15548960784 7634832149392 5036317938475648 4297211671488276816 ]
A000007,EulerianSO2,Std,LeftSide,[1 0 0 0 0 0 0 0 0 0 ]
A000142,EulerianSO2,Std,RightSide,[1 1 2 6 24 120 720 5040 40320 362880 ]
A000311,EulerianSO2,Std,PosHalf,[1 1 4 26 236 2752 39208 660032 12818912 282137824 ]
A341106,EulerianSO2,Std,NegHalf,[1 1 0 -6 -12 144 1080 -5184 -127008 -95904 ]
A112487,EulerianSO2,Std,PolyVal2,[1 2 10 82 938 13778 247210 5240338 128149802 3551246162 ]
nothing,EulerianSO2,Std,PolyVal3,[1 3 21 237 3711 74451 1822557 52680189 1755990327 66313036227 ]
nothing,EulerianSO2,Std,BinConv,[1 1 4 33 392 6145 119724 2789465 75660080 2341894185 ]
nothing,EulerianSO2,Std,IBinConv,[1 1 0 -15 -80 665 17136 55209 -4162752 -83069415 ]
nothing,EulerianSO2,Std,TransSqrs,[0 1 9 87 995 13265 202545 3489255 66981915 1418241825 ]
A051577,EulerianSO2,Std,TransNat0,[0 1 5 35 315 3465 45045 675675 11486475 218243025 ]
nothing,EulerianSO2,Std,TransNat1,[1 2 8 50 420 4410 55440 810810 13513500 252702450 ]
A008279,FallingFact,Std,Triangle,[1 1 1 1 2 2 1 3 6 6 ]
A094587,FallingFact,Std,Reverse,[1 1 1 2 2 1 6 6 3 1 ]
A128229,FallingFact,Std,InvRev,[1 -1 1 0 -2 1 0 0 -3 1 ]
nothing,FallingFact,Std,DiagTri,[1 1 1 1 1 2 1 3 2 1 ]
nothing,FallingFact,Std,PolyTri,[1 1 1 1 2 1 1 5 3 1 ]
A000522,FallingFact,Std,Sum,[1 2 5 16 65 326 1957 13700 109601 986410 ]
A087208,FallingFact,Std,EvenSum,[1 1 3 7 37 141 1111 5923 62217 426457 ]
A002747,FallingFact,Std,OddSum,[0 1 2 9 28 185 846 7777 47384 559953 ]
A000166,FallingFact,Std,AltSum,[1 0 1 -2 9 -44 265 -1854 14833 -133496 ]
A122852,FallingFact,Std,DiagSum,[1 1 2 3 6 11 24 51 122 291 ]
A205825,FallingFact,Std,Middle,[1 1 2 3 12 20 120 210 1680 3024 ]
A001813,FallingFact,Std,Central,[1 2 12 120 1680 30240 665280 17297280 518918400 17643225600 ]
A000012,FallingFact,Std,LeftSide,[1 1 1 1 1 1 1 1 1 1 ]
A000142,FallingFact,Std,RightSide,[1 1 2 6 24 120 720 5040 40320 362880 ]
A010842,FallingFact,Std,PosHalf,[1 3 10 38 168 872 5296 37200 297856 2681216 ]
A000023,FallingFact,Std,NegHalf,[1 -1 2 -2 8 8 112 656 5504 49024 ]
A010844,FallingFact,Std,PolyVal2,[1 3 13 79 633 6331 75973 1063623 17017969 306323443 ]
A010845,FallingFact,Std,PolyVal3,[1 4 25 226 2713 40696 732529 15383110 369194641 9968255308 ]
A002720,FallingFact,Std,BinConv,[1 2 7 34 209 1546 13327 130922 1441729 17572114 ]
A009940,FallingFact,Std,IBinConv,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 ]
nothing,FallingFact,Std,TransSqrs,[0 1 10 81 652 5545 50886 506905 5480056 64116657 ]
A093964,FallingFact,Std,TransNat0,[0 1 6 33 196 1305 9786 82201 767208 7891281 ]
A001339,FallingFact,Std,TransNat1,[1 3 11 49 261 1631 11743 95901 876809 8877691 ]
A193737,Fibonacci,Std,Triangle,[1 1 1 1 2 1 2 4 3 1 ]
A193736,Fibonacci,Std,Reverse,[1 1 1 1 2 1 1 3 4 2 ]
nothing,Fibonacci,Std,Inverse,[1 -1 1 1 -2 1 -1 2 -3 1 ]
nothing,Fibonacci,Std,RevInv,[1 1 -1 1 -2 1 1 -3 2 -1 ]
A119473,Fibonacci,Std,DiagTri,[1 1 1 1 2 2 3 4 1 5 ]
nothing,Fibonacci,Std,PolyTri,[1 1 1 1 2 1 2 4 3 1 ]
A052542,Fibonacci,Std,Sum,[1 2 4 10 24 58 140 338 816 1970 ]
A215928,Fibonacci,Std,EvenSum,[1 1 2 5 12 29 70 169 408 985 ]
A000129,Fibonacci,Std,OddSum,[0 1 2 5 12 29 70 169 408 985 ]
A000007,Fibonacci,Std,AltSum,[1 0 0 0 0 0 0 0 0 0 ]
A011782,Fibonacci,Std,DiagSum,[1 1 2 4 8 16 32 64 128 256 ]
nothing,Fibonacci,Std,Middle,[1 1 2 4 8 19 36 91 170 446 ]
A330793,Fibonacci,Std,Central,[1 2 8 36 170 826 4088 20496 103752 529100 ]
A274163,Fibonacci,Std,LeftSide,[1 1 1 2 3 5 8 13 21 34 ]
A000012,Fibonacci,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A330795,Fibonacci,Std,PosHalf,[1 3 9 39 153 615 2457 9831 39321 157287 ]
A006131,Fibonacci,Std,NegHalf,[1 -1 1 -5 9 -29 65 -181 441 -1165 ]
A052906,Fibonacci,Std,PolyVal2,[1 3 9 30 99 327 1080 3567 11781 38910 ]
nothing,Fibonacci,Std,PolyVal3,[1 4 16 68 288 1220 5168 21892 92736 392836 ]
nothing,Fibonacci,Std,BinConv,[1 2 6 24 100 426 1848 8120 36018 160940 ]
nothing,Fibonacci,Std,IBinConv,[1 0 -2 2 4 -14 0 58 -78 -162 ]
nothing,Fibonacci,Std,TransSqrs,[0 1 6 25 92 313 1010 3137 9464 27905 ]
A119915,Fibonacci,Std,TransNat0,[0 1 4 13 40 117 332 921 2512 6761 ]
